incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
lost property,5810 s. university,quad,2010-07-01T12:42:00Z,6/28/10 2:45 PM,Woman reports losing a Canon Power Shot digital camera while in the Quad,Closed,W0731,2010-06-28T14:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892236,-87.5980197
damage to vehicle,61st & drexel,NA,2010-07-01T14:01:00Z,6/29/10 to 7/1/10 3:00 PM to 1:50 PM,Unknown person smashed windshield of a rental truck parked in a vacant lot,Open,W0732,2010-06-29T15:00:00Z,2010-07-01T13:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7840731,-87.6043863
theft,60th between ingleside & ellis,NA,2010-07-01T14:48:00Z,6/29/10 to 7/1/10 5:30 PM to 12:30 PM,Unknown person smashed rear passenger's side window of vehicle parked on the street and took a GPS device,Open,W0733,2010-06-29T17:30:00Z,2010-07-01T12:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78590125,-87.6019966
theft,60th and ellis,NA,2010-07-01T15:13:00Z,6/23/10 to 6/29/10 9:00 AM to 5:00 PM,Bicycle taken from bike rack,Open,W0734,2010-06-23T09:00:00Z,2010-06-29T17:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7859081,-87.6011825
chemical spill,924 e. 57th st.,bslc,2010-07-01T18:15:00Z,7/1/10 6:15 PM,"Bottle slipped from man's hands, broke causing chemical to spill on his clothes, countertop and floor / Safety notified / No injuries",Closed,W0735,2010-07-01T18:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
lost property,"palos heights, il",NA,2010-07-01T23:09:00Z,7/1/10 10:00 PM,Staff member reports losing wallet containing UC ID while in a restaurant,Closed,W0736,2010-07-01T22:00:00Z,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.6680885,-87.7964416
possession of cannabis,everett at 56th,NA,2010-07-01T23:50:00Z,7/1/10 11:50 PM,UCPD officers arrested two males for possession of marijuana,Arrest,W0737,2010-07-01T23:50:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7934453,-87.5820682
battery,maryland between 53rd & 54th,NA,2010-07-01T22:45:00Z,7/1/10 10:45 PM,"A man, who appeared to be intoxicated, struck another man for no apparent reason / Arrest",Arrest,W0738,2010-07-01T22:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.79770155,-87.60509585
robbery,55th at kenwood,NA,2010-07-02T14:24:00Z,7/2/10 1:45 AM,"A group of youths knocked a man to the ground and took his cell phone, MP3 player and head phones",Open,W0739,2010-07-02T01:45:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7951362,-87.5933416
injured person,55th at woodlawn,NA,2010-07-03T00:45:00Z,7/2/10 10:20 PM,Man riding bicycle struck by a motor vehicle at the intersection / Transported to hospital by CFD EMS,Closed,W0741,2010-07-02T22:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7950601,-87.596557
